image,emotion,text,source
mycomic.pdf_p0000_panel_0.jpg,neutral,,auto_ocr_sentiment
mycomic.pdf_p0000_panel_1.jpg,neutral,,auto_ocr_sentiment
mycomic.pdf_p0000_panel_10.jpg,neutral,,auto_ocr_sentiment
mycomic.pdf_p0000_panel_11.jpg,neutral,,auto_ocr_sentiment
mycomic.pdf_p0000_panel_12.jpg,neutral,,auto_ocr_sentiment
mycomic.pdf_p0000_panel_13.jpg,neutral,,auto_ocr_sentiment
mycomic.pdf_p0000_panel_14.jpg,neutral,,auto_ocr_sentiment
mycomic.pdf_p0000_panel_15.jpg,joy,MIDJOURNEY,auto_ocr_sentiment
mycomic.pdf_p0000_panel_16.jpg,joy,he 7,auto_ocr_sentiment
mycomic.pdf_p0000_panel_17.jpg,neutral,,auto_ocr_sentiment
mycomic.pdf_p0000_panel_18.jpg,neutral,,auto_ocr_sentiment
mycomic.pdf_p0000_panel_19.jpg,neutral,,auto_ocr_sentiment
mycomic.pdf_p0000_panel_2.jpg,neutral,,auto_ocr_sentiment
mycomic.pdf_p0000_panel_20.jpg,neutral,,auto_ocr_sentiment
mycomic.pdf_p0000_panel_21.jpg,neutral,,auto_ocr_sentiment
mycomic.pdf_p0000_panel_22.jpg,neutral,,auto_ocr_sentiment
mycomic.pdf_p0000_panel_23.jpg,neutral,,auto_ocr_sentiment
mycomic.pdf_p0000_panel_24.jpg,neutral,,auto_ocr_sentiment
mycomic.pdf_p0000_panel_3.jpg,neutral,,auto_ocr_sentiment
mycomic.pdf_p0000_panel_4.jpg,neutral,,auto_ocr_sentiment
mycomic.pdf_p0000_panel_5.jpg,neutral,,auto_ocr_sentiment
mycomic.pdf_p0000_panel_6.jpg,neutral,,auto_ocr_sentiment
mycomic.pdf_p0000_panel_7.jpg,neutral,,auto_ocr_sentiment
mycomic.pdf_p0000_panel_8.jpg,neutral,,auto_ocr_sentiment
mycomic.pdf_p0000_panel_9.jpg,neutral,,auto_ocr_sentiment
mycomic.pdf_p0001_panel_0.jpg,neutral,,auto_ocr_sentiment
mycomic.pdf_p0001_panel_1.jpg,neutral,,auto_ocr_sentiment
mycomic.pdf_p0001_panel_2.jpg,neutral,,auto_ocr_sentiment
mycomic.pdf_p0001_panel_3.jpg,neutral,,auto_ocr_sentiment
mycomic.pdf_p0001_panel_4.jpg,anger,"17S IT MORNING?
DID I FALL ASLEEP IN CENTRAL
PARK?",auto_ocr_sentiment
mycomic.pdf_p0002_panel_0.jpg,joy,"""MY DEAREST ZARYA,

A LOOKING FORWARD TO
OUR NEXT ADVENTURE,
Rusty""",auto_ocr_sentiment
mycomic.pdf_p0002_panel_1.jpg,neutral,,auto_ocr_sentiment
mycomic.pdf_p0002_panel_2.jpg,neutral,,auto_ocr_sentiment
