image,emotion,text,source,split
"Invincible, Vol. 1.pdf_p0963_panel_1.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0953_panel_1.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0703_panel_1.jpg",neutral,"1U THINK,
THAT IT’S

I’ve BEEN
THINKING ABOUT
THIS ALREADY
AND I THINK I’ve
ALREADY PECIDED
ON A GOOD
NAME.

ITHINKI ~~
SHOULD MAKE
ABOUT SIX MORE
CLONES AND HAVE
YOU ALL BE MY
SLAVES--THAT WOULD
REALLY HELP US
ACHIEVE OUR--

. WELL, MY GOALS
Ss QUICKER.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0527_panel_5.jpg",neutral,"t WANT TO KNOW IF
THERE’S A TEMPER-
ATURE CHANGE, IF
THEIR ELECTRICITY
USAGE SPIES, IF

THEY SNEEZE-- «

WANT TO",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1103_panel_0.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1011_panel_4.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0829_panel_0.jpg",neutral,"~ eo ee
en + ,
. ny
°
<—
~~

N\:
|

mm THE UNASSUMING TAILOR

Wl SHOP OF ARTHUR ROSENBAUM

SHO NNN

UNBEKNOWNST To HIS

CUSTOMERS, THE BULK

OF ART’S INCOME IS
GENERATEP BY PESIGNING
ANP CREATING COSTUMES
FOR SUPERHEROES.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0228_panel_4.jpg",neutral,"WELL... TO Be
HONEST, THIS NEW
GUARDIANS OF THE
GLOBE ISN’T NEARLY
DS EFFECTIVE OR
EFFICIENT AS THE",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0178_panel_3.jpg",surprise,"TIMES DOT
HAVE TO TELL
You?!",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0954_panel_0.jpg",anger,"I RESPECTFULLY \
DECLINE! |",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0801_panel_1.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0068_panel_1.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0729_panel_3.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0322_panel_6.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0992_panel_5.jpg",neutral,"WHAIEVEK. ( —
>

THE GUY &
JUST SEEMS ¥",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0188_panel_3.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0304_panel_1.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0347_panel_1.jpg",anger,"LETHAN!
DON’T SPEAK
TO YOUR FUTURE
KING THAT

WAY!",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0132_panel_6.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0517_panel_3.jpg",neutral,"YOU’RE
RIGHT--T’LL
BE RIGHT
THERE.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0378_panel_4.jpg",neutral,"PREACH ON,
SISTER! I’M NOT
READY TO Give UV
EITHER. THERE’S

TOO MUCH AT :
STAKE! y

PEOPLE |
ARE COUNTING |
ON US! p",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1083_panel_2.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0176_panel_1.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0777_panel_0.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0153_panel_8.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0944_panel_3.jpg",neutral,"Ll ont

hod isa fan",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1010_panel_2.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0559_panel_4.jpg",anger,"PPEOPLE VY YOU'VE ALL

NGERED JUST GROWN

YEARS AGO ACCUSTOMED

ie KNOWS TO YOUR your
DANGER BACKWARPS = apccpne

   

-TION

METHOPS.

     
  
 
 

FACTORIES MAY
BE MORE
EFFICIENT BUT
I PROMISE
YOU THEY’RE

NOT AS
FUN.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0530_panel_3.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0345_panel_2.jpg",neutral,"JULD HAVE A

SELLING LIKE
SINCE HE",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0022_panel_4.jpg",neutral,"YOU’RE NOT
INVINCIBLE
YOU KNOW.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0477_panel_5.jpg",surprise,"YEAH, IT KNOW.
IT’S JUST THAT--
OH, WAIT...

Be RIGHT
BACK.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0683_panel_6.jpg",neutral,"I KNOW THIS GOES FOR
JUST ABOUT ANYONE
AT THIS POINT--
BUT ISN’T SHE
ALITTLE YOUNG
FOR YOU?",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0749_panel_0.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0249_panel_3.jpg",anger,"FOR THREE YEARS STRAIGHT I
ATTENDED AUDITIONS UNTIL AT
LAST... IT HAD PROVEN MYSELF.

I HAD IMPRESSED THE HEADS OF
RECRUITMENT SO MUCH THAT I GOT ONE OF THE
BEST POSTS IN THE CONQUERING COMMITTEE.

eee. et Se es a Sc i

I WAS STATIONED AT THE
FOREFRONT OF THE EXPANSION
EFFORTS... AT THE VERY EDGE

OF OUR EVER-GROWING EMPIRE.

Sa Sc
a

ws . a . A
eo Bd a",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1080_panel_2.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0932_panel_2.jpg",neutral,"I LIKE YOU--
JUST NOT LIKE
THAT--",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0143_panel_5.jpg",neutral,"ALL I KNOW FOR SURE IS
THAT SOMEONE WHO WAS
CRAZY ENOUGH TO BREAK
IN HERE AND ROB ME IS
ROAMING FREE OUT THERE
IN A SUIT THAT GIVES
THEM THE POWER TO
LEVEL CITES...

 

 

 

Ny ; ?",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0957_panel_2.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0305_panel_5.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0572_panel_8.jpg",surprise,"WELL! I MEAN! ¥
UH! IT’s JUST |
THAT MY GIRL-

FRIEND AND I--
UM--NO, UH.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0029_panel_2.jpg",fear,"WITH NO CONFLICT AT HAND, OUR
HIGH COUNCIL REFUSED TO LET OUR
SOCIETY BECOME COMPLACENT.

 

   
 
 
 
 
 
  

COUNCIL MEMBERS ARGUED THAT
RATHER THAN REVEL IN OUR NEWFOUND
PERFECTION, We SHOULD TAKE IT UPON
OURSELVES TO ENSURE THAT OTHER
RACES, LESSER DEVELOPED THAN OUR
OWN, SHOULD BE ALLOWED TO DEVELOP
TO OUR LEVEL OF ADVANCEMENT. iP",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0215_panel_4.jpg",neutral,ai :,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0864_panel_0.jpg",fear,"AN UNDISCLOSED
LOCATION IN UTAH.

  

THE SECKET MOUNTAIN
BASE OF THE GUARDIANS |
OF THE GLOBE.",auto_ocr_sentiment,train
